"naptan_id","name","line_ids","modes"
"940GZZDLABR","Abbey Road","dlr","dlr"
"910GABWDXR","Abbey Wood","elizabeth","elizabeth-line"
"HUBABW","Abbey Wood","elizabeth,southeastern,thameslink","elizabeth-line,national-rail"
"9100ABWDXR0","Abbey Wood Station","elizabeth","elizabeth-line"
"9100ABWDXR1","Abbey Wood Station","elizabeth","elizabeth-line"
"910GACTNCTL","Acton Central","mildmay","overground"
"9100ACTNCTL0","Acton Central Station","mildmay","overground"
"9100ACTNCTL1","Acton Central Station","mildmay","overground"
"910GACTONML","Acton Main Line","elizabeth,great-western-railway","elizabeth-line,national-rail"
"9100ACTONML0","Acton Main Line Station","elizabeth,great-western-railway","elizabeth-line,national-rail"
"940GZZLUACT","Acton Town","district,piccadilly","tube"
"940GZZLUALD","Aldgate","circle,metropolitan","tube"
"940GZZLUADE","Aldgate East","district,hammersmith-city","tube"
"940GZZDLALL","All Saints","dlr","dlr"
"940GZZLUALP","Alperton","piccadilly","tube"
"940GZZLUAMS","Amersham","metropolitan","tube"
"HUBAMR","Amersham","chiltern-railways,metropolitan","bus,national-rail,tube"
"910GANERLEY","Anerley","southern,windrush","national-rail,overground"
"9100ANERLEY0","Anerley Station","southern,windrush","national-rail,overground"
"9100ANERLEY1","Anerley Station","southern,windrush","national-rail,overground"
"940GZZLUAGL","Angel","northern","tube"
"9400ZZLUAGL2","Angel Station","northern","tube"
"940GZZLUACY","Archway","northern","tube"
"9400ZZLUACY2","Archway Station","northern","tube"
"940GZZLUASG","Arnos Grove","piccadilly","tube"
"940GZZLUASL","Arsenal","piccadilly","tube"
"940GZZLUBST","Baker Street","bakerloo,circle,hammersmith-city,jubilee,metropolitan","tube"
"940GZZLUBLM","Balham","northern","tube"
"HUBBAL","Balham","northern,southern","bus,national-rail,tube"
"9400ZZLUBLM2","Balham Station","northern","tube"
"9400ZZDLBNK2","Bank","dlr","dlr"
"940GZZDLBNK","Bank","dlr","dlr"
"940GZZLUBNK","Bank","central,northern,waterloo-city","tube"
